"Category","ComponentTitle","Description","UsefulLife","RemainingUsefulLife","ReplacementCost","Assessment","FundComponent","Notes"
"Access Control","Entry Gate Intercom - Replace","One Entry System",8,6,3500,"Fixed","Funded",""
"Access Control","Entry Gate Motors - Replace","One Entry System",8,6,4000,"Fixed","Funded",""
"Asphalt","Asphalt - Remove and Replace","Extensive Sq Ft",30,20,75000,"Fixed","Funded",""
"Asphalt","Asphalt - Seal/Repair/Restripe","Extensive Sq Ft",5,0,3750,"Fixed","Funded",""
"Concrete","Concrete Walkways - Repair","Numerous ",5,0,1500,"Fixed","Funded",""
"Decks","Decks - Replace","Individual Decks",30,20,45000,"Fixed","Funded",""
"Decks","Decks - Resurface","Individual Decks",15,5,30000,"Fixed","Funded",""
"Decks","Decks - Seal/Repair","Individual Decks",5,0,7500,"Fixed","Funded",""
"Exterior","Bldg Exterior - Repaint","Extensive Sq Ft",10,0,54000,"Fixed","Funded",""
"Exterior","Bldg Trim - Repaint","Minimal total Sq Ft",5,0,15000,"Fixed","Funded",""
"Exterior","Gutters/Downspouts - Replace","Extensive System",20,10,7500,"Fixed","Funded",""
"Exterior","Roof - Replace","Extensive Sq Ft",20,10,135000,"Fixed","Funded",""
"Fencing","Perimeter Fence - Repaint","Extensive Sq Ft",5,0,10500,"Fixed","Funded",""
"Fencing","Perimeter Fence - Replace","Extensive Linear Ft",20,10,37500,"Fixed","Funded",""
"Fencing","Tennis Ct Perim Fence - Replace","Approx 360 LF, chain link",30,20,10800,"Fixed","Funded",""
"Furnishings","Clubhouse Interior - Refurbish","Flooring, paint, furniture",12,2,12000,"Fixed","Funded",""
"Furnishings","Clubhouse Kitchen - Refurbish","(1) residential size",15,5,10000,"Fixed","Funded",""
"Furnishings","Fitness Eqp - Replace","Approx 6 pieces",10,0,12000,"Fixed","Funded",""
"Furnishings","Mailboxes - Replace","One per unit",15,5,2400,"Fixed","Funded",""
"Furnishings","Pool/Spa Bathrooms - Refurbish","Refurbish (1) bathroom set",12,2,8000,"Fixed","Funded",""
"Furnishings","Pool/Spa Furniture - Replace","Numerous pieces",6,2,8000,"Fixed","Funded",""
"Furnishings","Tennis Court - Resurface","Resurface (1) Court",5,0,6500,"Fixed","Funded",""
"HVAC","Clubhouse Heat/AC - Replace","(1) unit",15,5,5000,"Fixed","Funded",""
"Landscaping","Entry Signage - Replace","Entry Signs",15,5,1500,"Fixed","Funded",""
"Landscaping","Irrigation System - Repairs","Extensive System",10,0,1050,"Fixed","Funded",""
"Landscaping","Landscape - Refurbish","Extensive Grounds",10,0,4500,"Fixed","Funded",""
"Landscaping","Trees - Trim","Numerous Trees",3,2,1500,"Fixed","Funded",""
"Lighting/Electrical","Light Fixtures - Replace","Numerous Fixtures",20,10,6000,"Fixed","Funded",""
"Pool/ Spa","Pool - Resurface","(1) Medium Size",8,6,8000,"Fixed","Funded",""
"Pool/ Spa","Pool Deck - Replace","Refurbish (1) deck area",30,20,30000,"Fixed","Funded",""
"Pool/ Spa","Pool Equipment - Replace","Heater, Filter",10,0,5000,"Fixed","Funded",""
"Pool/ Spa","Spa/Jacuzzi - Resurface","(1) Medium Size",4,2,3000,"Fixed","Funded",""
"Pool/ Spa","Spa/Jacuzzi Equipment - Replace","Heater, Filter",10,0,4000,"Fixed","Funded",""
